frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,5.0,[2197.166015625 1154.0797119140625 2785.6494140625 1736.55322265625],[2418.0849609375 1560.454833984375 2575.47509765625 1639.80029296875],0.5457523465156555,NU51TSU,0.04236498419570672
1,5.0,[2197.398982088146 1154.2834652275594 2785.5585232511503 1736.5472034973143],[2418.012451171875 1560.4954833984375 2575.515380859375 1639.839111328125],0.546599268913269,NU51ISU,0.03466597365760148
2,5.0,[2201.178797500527 1163.453411757555 2783.9074235419153 1740.8521381895348],[2419.0244140625 1563.526611328125 2579.46826171875 1643.44921875],0.5593115091323853,HU51VSU,0.1320858812313684
5,5.0,[2194.096625442983 1174.196557073161 2789.7638953027317 1755.6258245085353],[2418.003173828125 1567.092041015625 2585.547607421875 1654.423095703125],0.6058012843132019,HV51VSU,0.43006297690259915
6,5.0,[2192.93939575618 1176.7568459493505 2788.933663502268 1758.4378197865167],[2419.825927734375 1576.237548828125 2588.337890625 1656.48095703125],0.5770473480224609,HU51VSU,0.2966948104366084
7,5.0,[2192.045065126251 1177.3984880704947 2788.412734783915 1759.2667010523496],[2419.77978515625 1576.0733642578125 2588.595458984375 1656.4903564453125],0.5780240893363953,HU51VSU,0.2966948104366084
8,5.0,[2189.1330339338833 1176.7713841167417 2789.446735633301 1762.0337593220427],[2420.227294921875 1580.6700439453125 2587.564453125 1656.5438232421875],0.5953059792518616,MO53VSU,0.0695115193330315
9,5.0,[2190.648504396785 1175.7444752521142 2792.237260661992 1764.4548493017096],[2418.2333984375 1582.1458740234375 2587.242919921875 1658.0262451171875],0.48058152198791504,KI53YSU,0.19688804057934636
12,5.0,[2193.072200177547 1172.6502538762225 2807.0021941169603 1771.3492646901136],[2419.827392578125 1595.8297119140625 2588.842041015625 1665.7393798828125],0.6079583764076233,NO51YSU,0.29756082280652935
13,5.0,[2192.4153586174534 1169.9564982157149 2809.747932120952 1772.3474601987014],[2419.729248046875 1595.8436279296875 2588.91796875 1665.6925048828125],0.6076680421829224,NO51YSU,0.29756082280652935
13,3.0,[726.2983050666421 1404.26208385867 1420.7562076589093 2043.2459545525703],[966.42919921875 1813.943115234375 1184.9417724609375 1904.250732421875],0.5718913674354553,NA13NRU,0.5502576069841201
14,5.0,[2193.62173956922 1176.172086555757 2814.818275871863 1777.3519537437576],[2424.058837890625 1596.7562255859375 2587.073974609375 1668.8800048828125],0.6239792108535767,MV51YSU,0.21400938165629302
14,3.0,[725.9480918327481 1407.07381906525 1423.1740134667448 2052.1906472467845],[961.27001953125 1818.5185546875 1199.8037109375 1907.086669921875],0.5285016298294067,NA13NRU,0.6168024681764948
16,5.0,[2194.6943965537994 1188.5897205200122 2820.569106523205 1785.2404899775252],[2427.7705078125 1600.007080078125 2592.390380859375 1678.569580078125],0.5975990295410156,MI51VSU,0.0723819022231562
20,5.0,[2198.0921091521154 1196.897595995942 2825.797469720155 1798.196951629971],[2427.422607421875 1614.42529296875 2593.01318359375 1694.0362548828125],0.5693185925483704,MV51VSU,0.5244296132325907
