frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
66,-1,-1.0 -1.0 -1.0 -1.0,850.4683227539062 2056.131591796875 1123.180419921875 2153.73046875,0.5621437430381775,NA13NRU,0.38556241014896264
67,-1,-1.0 -1.0 -1.0 -1.0,848.215576171875 2057.4404296875 1130.6776733398438 2155.4617919921875,0,0,0
68,-1,-1.0 -1.0 -1.0 -1.0,845.9628295898438 2058.749267578125 1138.1749267578125 2157.193115234375,0.5286003351211548,NA13NFU,0.15591150842692383
69,-1,-1.0 -1.0 -1.0 -1.0,848.5211791992188 2064.2996419270835 1129.133056640625 2158.1287434895835,0,0,0
70,-1,-1.0 -1.0 -1.0 -1.0,851.0795288085938 2069.8500162760415 1120.0911865234375 2159.0643717447915,0,0,0
71,-1,-1.0 -1.0 -1.0 -1.0,853.6378784179688 2075.400390625 1111.04931640625 2160.0,0.5228427052497864,TA13NRU,0.28432043451623984
72,-1,-1.0 -1.0 -1.0 -1.0,875.7787804854544 2075.5595446134867 1132.6311549136512 2160.0,0,0,0
73,-1,-1.0 -1.0 -1.0 -1.0,897.91968255294 2075.7186986019738 1154.2129934210527 2160.0,0,0,0
74,-1,-1.0 -1.0 -1.0 -1.0,920.0605846204255 2075.8778525904604 1175.794831928454 2160.0,0,0,0
75,-1,-1.0 -1.0 -1.0 -1.0,942.2014866879111 2076.0370065789475 1197.3766704358552 2160.0,0,0,0
76,-1,-1.0 -1.0 -1.0 -1.0,964.3423887553968 2076.196160567434 1218.9585089432567 2160.0,0,0,0
77,-1,-1.0 -1.0 -1.0 -1.0,986.4832908228824 2076.3553145559213 1240.540347450658 2160.0,0,0,0
78,-1,-1.0 -1.0 -1.0 -1.0,1008.624192890368 2076.514468544408 1262.1221859580592 2160.0,0,0,0
79,-1,-1.0 -1.0 -1.0 -1.0,1030.7650949578535 2076.6736225328946 1283.7040244654604 2160.0,0,0,0
80,-1,-1.0 -1.0 -1.0 -1.0,1052.9059970253393 2076.8327765213817 1305.2858629728619 2160.0,0,0,0
81,-1,-1.0 -1.0 -1.0 -1.0,1075.0468990928248 2076.9919305098683 1326.8677014802631 2160.0,0,0,0
82,-1,-1.0 -1.0 -1.0 -1.0,1097.1878011603105 2077.1510844983554 1348.4495399876646 2160.0,0,0,0
