epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6172.09,1.27872,1.24739,1.25236,0.95121,0.87783,0.94098,0.5936,1.31553,0.80491,1.27652,0.000666163,0.000666163,0.000666163
2,10943.7,1.27839,0.79507,1.26425,0.93784,0.89877,0.94312,0.58999,1.33483,0.70427,1.29945,0.00126685,0.00126685,0.00126685
3,13581.7,1.26231,0.75162,1.25871,0.93532,0.90338,0.9386,0.5557,1.40119,0.70933,1.33101,0.00180155,0.00180155,0.00180155
4,16280.6,1.22499,0.70182,1.24685,0.95209,0.92276,0.95911,0.63253,1.2382,0.60075,1.22391,0.001703,0.001703,0.001703
5,19016.3,1.20183,0.66238,1.22897,0.96978,0.92917,0.96288,0.6299,1.28088,0.54811,1.2561,0.001604,0.001604,0.001604
6,21774.9,1.16972,0.63326,1.20591,0.96799,0.93628,0.96913,0.64552,1.21692,0.52707,1.2136,0.001505,0.001505,0.001505
7,24225.9,1.1591,0.61461,1.20279,0.95091,0.93588,0.967,0.65551,1.19918,0.52288,1.20359,0.001406,0.001406,0.001406
8,26837.3,1.14493,0.59078,1.18724,0.97094,0.94024,0.97182,0.64896,1.22931,0.51444,1.21807,0.001307,0.001307,0.001307
9,32455.3,1.13081,0.57645,1.1841,0.97571,0.94559,0.97418,0.66842,1.16777,0.48711,1.1841,0.001208,0.001208,0.001208
10,38779.8,1.11215,0.5602,1.17758,0.97214,0.94913,0.97295,0.66683,1.18445,0.47611,1.19249,0.001109,0.001109,0.001109
11,44588,1.09354,0.47837,1.20246,0.97393,0.94633,0.97678,0.66785,1.18244,0.48421,1.19124,0.00101,0.00101,0.00101
12,50246.8,1.07357,0.46193,1.1932,0.97531,0.94491,0.97376,0.6759,1.15934,0.46871,1.18477,0.000911,0.000911,0.000911
13,56075.5,1.05668,0.44466,1.1859,0.9809,0.93962,0.97606,0.67879,1.15239,0.46085,1.18178,0.000812,0.000812,0.000812
14,62167.4,1.04291,0.43246,1.17816,0.97405,0.95053,0.97941,0.68453,1.13909,0.43993,1.16669,0.000713,0.000713,0.000713
15,67698.8,1.02693,0.41942,1.17055,0.97373,0.95544,0.98224,0.68949,1.14003,0.43246,1.1627,0.000614,0.000614,0.000614
16,73112.6,1.014,0.40662,1.15862,0.97585,0.9531,0.98137,0.69391,1.12889,0.4252,1.15963,0.000515,0.000515,0.000515
17,79163.8,0.99951,0.39619,1.15047,0.983,0.94902,0.98183,0.69444,1.12638,0.42206,1.15875,0.000416,0.000416,0.000416
18,84546.7,0.98363,0.38626,1.13953,0.98393,0.9545,0.98396,0.69695,1.12144,0.41836,1.15615,0.000317,0.000317,0.000317
19,90097.4,0.97274,0.37445,1.13151,0.98565,0.95216,0.98428,0.70091,1.11615,0.41004,1.15489,0.000218,0.000218,0.000218
20,95759.7,0.95881,0.36663,1.12572,0.98495,0.95155,0.98339,0.70287,1.11224,0.40727,1.15251,0.000119,0.000119,0.000119
