epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4291.77,1.04088,4.84756,1.38185,0.26553,0.05507,0.03131,0.02397,1.07794,4.7443,1.36018,3.53067e-05,3.53067e-05,3.53067e-05
2,8458.55,1.07702,4.16908,1.38947,0.30149,0.17223,0.10607,0.07688,1.12563,4.00702,1.39732,6.83089e-05,6.83089e-05,6.83089e-05
3,12649.1,1.08141,3.64544,1.3848,0.27463,0.22954,0.16635,0.1208,1.11749,3.60687,1.38864,9.89791e-05,9.89791e-05,9.89791e-05
4,16862.7,1.0693,3.34734,1.37268,0.33553,0.29099,0.22057,0.16036,1.1107,3.31648,1.39937,9.5506e-05,9.5506e-05,9.5506e-05
5,21067.1,1.05097,3.13364,1.35996,0.34077,0.30875,0.24913,0.18577,1.09536,3.07494,1.35725,9.2008e-05,9.2008e-05,9.2008e-05
6,25233.6,1.04278,2.97537,1.35274,0.36754,0.32522,0.27527,0.20428,1.08651,2.9432,1.35136,8.851e-05,8.851e-05,8.851e-05
7,29084.5,1.03033,2.85023,1.3415,0.37738,0.35419,0.30558,0.22842,1.08598,2.7898,1.35486,8.5012e-05,8.5012e-05,8.5012e-05
8,31981.4,1.02712,2.74502,1.33704,0.40545,0.35472,0.31469,0.23478,1.07549,2.72732,1.33977,8.1514e-05,8.1514e-05,8.1514e-05
9,34817,1.02058,2.66592,1.3313,0.43439,0.35226,0.33686,0.25485,1.06086,2.63905,1.32728,7.8016e-05,7.8016e-05,7.8016e-05
10,37676.7,1.01271,2.59371,1.32594,0.39303,0.39208,0.33866,0.25281,1.05584,2.5686,1.32257,7.4518e-05,7.4518e-05,7.4518e-05
11,40550.6,1.00152,2.51751,1.31852,0.43092,0.37833,0.35568,0.26809,1.04751,2.48,1.3144,7.102e-05,7.102e-05,7.102e-05
12,43406,0.99551,2.46936,1.31468,0.44947,0.38378,0.36486,0.27438,1.05292,2.42572,1.31666,6.7522e-05,6.7522e-05,6.7522e-05
13,46215.7,0.98484,2.41441,1.30736,0.4114,0.40838,0.36168,0.27278,1.04585,2.42595,1.31334,6.4024e-05,6.4024e-05,6.4024e-05
14,49094.5,0.99151,2.38684,1.31197,0.44244,0.40142,0.37792,0.28485,1.04381,2.37166,1.30793,6.0526e-05,6.0526e-05,6.0526e-05
15,51972,0.97799,2.31784,1.30007,0.44688,0.41698,0.38495,0.28863,1.04266,2.33057,1.31121,5.7028e-05,5.7028e-05,5.7028e-05
16,54818.1,0.97454,2.28588,1.29625,0.43025,0.41814,0.38792,0.29301,1.03908,2.29703,1.30609,5.353e-05,5.353e-05,5.353e-05
17,57742.3,0.96845,2.25022,1.2941,0.45231,0.41773,0.39374,0.30013,1.04026,2.26659,1.30482,5.0032e-05,5.0032e-05,5.0032e-05
18,60599.4,0.97049,2.22172,1.29553,0.44755,0.42108,0.40093,0.30602,1.03556,2.23104,1.30385,4.6534e-05,4.6534e-05,4.6534e-05
19,63467.2,0.95589,2.18775,1.28701,0.46453,0.41928,0.40167,0.30686,1.03358,2.22346,1.30145,4.3036e-05,4.3036e-05,4.3036e-05
20,66333.9,0.96389,2.15913,1.28574,0.46294,0.42533,0.41023,0.31321,1.02856,2.18634,1.29543,3.9538e-05,3.9538e-05,3.9538e-05
21,69234.9,0.95479,2.12207,1.3048,0.45415,0.43753,0.40712,0.30866,1.01736,2.22909,1.28344,3.604e-05,3.604e-05,3.604e-05
22,72248.1,0.94008,2.03036,1.29566,0.44962,0.44662,0.40897,0.3128,1.01762,2.20325,1.28593,3.2542e-05,3.2542e-05,3.2542e-05
23,75145.2,0.93918,1.97988,1.29184,0.46216,0.44348,0.41299,0.31702,1.01506,2.19548,1.28195,2.9044e-05,2.9044e-05,2.9044e-05
24,77977.8,0.93359,1.93875,1.28645,0.47414,0.43808,0.41559,0.31851,1.01783,2.18957,1.28453,2.5546e-05,2.5546e-05,2.5546e-05
25,80750.2,0.92473,1.9097,1.28381,0.45503,0.45655,0.41643,0.31912,1.0166,2.19167,1.28235,2.2048e-05,2.2048e-05,2.2048e-05
26,83512,0.92078,1.87586,1.27774,0.45209,0.44899,0.41763,0.31985,1.01561,2.17838,1.28082,1.855e-05,1.855e-05,1.855e-05
27,86258.4,0.91344,1.84923,1.27252,0.46356,0.44731,0.41739,0.31829,1.01439,2.16688,1.2796,1.5052e-05,1.5052e-05,1.5052e-05
28,89060.2,0.91149,1.82536,1.26986,0.46235,0.45134,0.41766,0.31835,1.01444,2.17415,1.28025,1.1554e-05,1.1554e-05,1.1554e-05
29,91832.1,0.90647,1.80975,1.26482,0.4647,0.44798,0.41678,0.31846,1.01417,2.17303,1.28013,8.056e-06,8.056e-06,8.056e-06
30,94616.9,0.90293,1.78795,1.26406,0.46175,0.45136,0.4183,0.31984,1.01324,2.16258,1.27897,4.558e-06,4.558e-06,4.558e-06
